,Año,País,Jornada,Equipo local,Equipo visitante,Últimos partidos local,Últimos partidos visitante,Puntos totales local,Puntos totales visitante,PG local,PG visitante,PE local,PE visitante,PP local,PP visitante,Goles a favor local,Goles a favor visitante,Goles en contra local,Goles en contra visitante,Porterías a cero local,Porterías a cero visitante,Total tiros local,Total tiros visitante,Posesión equipo local,Posesión equipo visitante,Disparos equipo local,Disparos equipo visitante,Disparos a puerta equipo local,Disparos a puerta equipo visitante,Tarjetas amarillas equipo local,Tarjetas amarillas equipo visitante,Tarjetas rojas equipo local,Tarjetas rojas equipo visitante,Faltas equipo local,Faltas equipo visitante,Córners equipo local,Córners equipo visitante,Paradas equipo local,Paradas equipo visitante,Resultado,Clustering local,Clustering visitante
2280,2015,IT,1,Hellas Verona,Roma,DEVEE,VDVVD,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.33,0.67,12,20,7,7,2,1,0,0,9,11,3,7,6,5,1,,
2281,2015,IT,1,Lazio,Bologna,EDVDV,VVDEE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.57,0.43,21,8,9,4,2,1,0,0,18,7,10,3,3,8,0,,
2282,2015,IT,1,Juventus,Udinese,VEVVE,VDDDD,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.66,0.34,21,6,5,2,1,3,0,0,14,22,10,2,1,5,2,,
2283,2015,IT,1,Frosinone,Torino,VVEVD,DDVDV,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.47,0.53,13,26,3,7,2,2,0,0,10,11,3,12,4,2,2,,
2284,2015,IT,1,Sampdoria,Carpi,DVDEE,EVEDE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.59,0.41,10,25,7,8,3,3,1,0,15,16,4,7,5,2,0,,
2285,2015,IT,1,Sassuolo,Napoli,EVVVV,VEVDD,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.43,0.58,15,14,6,3,4,2,0,0,12,21,5,1,2,4,0,,
2286,2015,IT,1,Inter,Atalanta,EVDDV,EVDED,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.68,0.32,21,5,7,0,2,4,0,1,14,12,9,1,0,6,0,,
2287,2015,IT,1,Fiorentina,Milan,VVVVV,DVDVV,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.59,0.41,13,9,7,0,4,4,0,1,18,16,4,5,0,5,0,,
2288,2015,IT,1,Empoli,Chievo,VDDED,EEDED,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.58,0.42,14,12,4,3,1,2,0,0,13,19,8,5,0,4,2,,
2289,2015,IT,1,Palermo,Genoa,EDVDV,DVVVD,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.44,0.56,19,11,6,3,1,1,0,0,10,13,5,6,3,5,0,,
2290,2015,IT,2,Bologna,Sassuolo,VDEED,VVVVV,0.0,3.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,2.0,2.0,1.0,0.0,0.0,8.0,15.0,0.46,0.55,6,9,2,2,3,1,0,0,15,13,10,5,1,2,2,,
